run_id,primitive_id,primitive_name,sem,scope,block_size,dtype,src_rank,dst_rank,buffer_bytes,n_elements,rep_idx,time_ms,bandwidth_gibps,world_size,gpu_arch,hostname,ts_unix
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,3,16777216,4194304,15,0.380023,82.2319,8,gfx942:sramecc+:xnack-,j06u19,1778487697.078
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,3,16777216,4194304,16,0.375413,83.2417,8,gfx942:sramecc+:xnack-,j06u19,1778487697.078
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,3,16777216,4194304,17,0.379061,82.4406,8,gfx942:sramecc+:xnack-,j06u19,1778487697.078
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,3,16777216,4194304,18,0.376254,83.0556,8,gfx942:sramecc+:xnack-,j06u19,1778487697.078
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,3,16777216,4194304,19,0.372686,83.8507,8,gfx942:sramecc+:xnack-,j06u19,1778487697.078
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,3,16777216,4194304,20,0.378500,82.5627,8,gfx942:sramecc+:xnack-,j06u19,1778487697.078
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,3,16777216,4194304,21,0.376856,82.9229,8,gfx942:sramecc+:xnack-,j06u19,1778487697.078
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,3,16777216,4194304,22,0.376294,83.0468,8,gfx942:sramecc+:xnack-,j06u19,1778487697.078
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,3,16777216,4194304,23,0.376776,82.9405,8,gfx942:sramecc+:xnack-,j06u19,1778487697.078
K-2306-1778487671-j06u19,J4,ATOMIC_MAX_RELEASE,release,cta,256,int32,7,3,16777216,4194304,24,0.376976,82.8965,8,gfx942:sramecc+:xnack-,j06u19,1778487697.078
