row_id,timestamp,gpu,dcc_mode,ordering,block,wgp,rep,mean_us,std_us,atomic_gops_s,tcc_dcc_hit,tcc_dcc_miss,tcp_tcc_atomic_req,sq_wait_proxy,status
172,1778532409.5794537,gfx942,dcc_disabled,RELAXED,128,64,21,23.0183,2.0699,0.3559,0,0,8192,2301,ok
173,1778532409.5803385,gfx942,dcc_disabled,RELAXED,128,64,22,23.7217,1.8481,0.3453,0,0,8192,2372,ok
174,1778532409.5812426,gfx942,dcc_disabled,RELAXED,128,64,23,22.7135,1.4163,0.3607,0,0,8192,2271,ok
175,1778532409.5821316,gfx942,dcc_disabled,RELAXED,128,64,24,22.5391,1.7025,0.3635,0,0,8192,2253,ok
176,1778532409.5830214,gfx942,dcc_disabled,RELAXED,128,128,0,22.6153,1.6897,0.7245,0,0,16384,2261,ok
177,1778532409.5839195,gfx942,dcc_disabled,RELAXED,128,128,1,22.0679,1.0872,0.7424,0,0,16384,2206,ok
178,1778532409.5848002,gfx942,dcc_disabled,RELAXED,128,128,2,23.0784,2.3913,0.7099,0,0,16384,2307,ok
179,1778532409.5857003,gfx942,dcc_disabled,RELAXED,128,128,3,23.0303,2.5868,0.7114,0,0,16384,2303,ok
180,1778532409.5865872,gfx942,dcc_disabled,RELAXED,128,128,4,22.6373,2.9577,0.7238,0,0,16384,2263,ok
181,1778532409.5874732,gfx942,dcc_disabled,RELAXED,128,128,5,23.0724,2.0060,0.7101,0,0,16384,2307,ok
182,1778532409.588374,gfx942,dcc_disabled,RELAXED,128,128,6,23.2929,1.7251,0.7034,0,0,16384,2329,ok
183,1778532409.5892725,gfx942,dcc_disabled,RELAXED,128,128,7,23.0064,1.6429,0.7121,0,0,16384,2300,ok
184,1778532409.5901747,gfx942,dcc_disabled,RELAXED,128,128,8,23.4051,1.3578,0.7000,0,0,16384,2340,ok
185,1778532409.591072,gfx942,dcc_disabled,RELAXED,128,128,9,23.2289,2.2340,0.7053,0,0,16384,2322,ok
186,1778532409.5919669,gfx942,dcc_disabled,RELAXED,128,128,10,23.0906,1.3931,0.7096,0,0,16384,2309,ok
187,1778532409.5928545,gfx942,dcc_disabled,RELAXED,128,128,11,22.6333,1.6178,0.7239,0,0,16384,2263,ok
